;;;;;;
angle_of_attack;inlet_vel;moment;lift_force;drag_force;drag_coefficient;lift_coefficient
-1;4;5.306893;99.887998;4.1597355
-1;4.5;6.7524658;127.25461;5.1288141
-1;5;8.3745394;157.98972;6.1891424
-1;5.5;10.173721;192.10648;7.3395219
-1;6;12.150543;229.61633;8.5787147
-1;6.5;14.305372;270.52698;9.9056262
-1;7;16.638464;314.84468;11.319106
-1;7.5;19.150149;362.5762;12.818412
-1;8;21.840682;413.72732;14.402671
0;4;5.7731362;120.9116;6.624728
0;4.5;7.3438948;153.90813;8.2720267
0;5;9.1061231;190.94315;10.094166
0;5.5;11.06024;232.02608;12.090016
0;6;13.20695;277.17236;14.258752
0;6.5;15.546639;326.39045;16.599474
0;7;18.079625;379.6871;19.111407
0;7.5;20.806165;437.06781;21.793818
0;8;23.726605;498.54041;24.646051
1;4;6.2320119;141.74627;10.00031
1;4.5;7.9259643;180.319;12.568137
1;5;9.8261688;223.59423;15.423199
1;5.5;11.933155;271.58443;18.564465
1;6;14.247408;324.30082;21.991126
1;6.5;16.769296;381.75035;25.702659
1;7;19.499412;443.94713;29.698723
1;7.5;22.437997;510.8959;33.978731
1;8;25.585261;582.60167;38.542005
2;4;6.6940681;162.62402;14.273209
2;4.5;8.5064875;206.61933;17.995329
2;5;10.540446;255.99546;22.14541
2;5.5;12.793296;310.67055;26.720325
2;6;15.266786;370.69496;31.720314
2;6.5;17.961346;436.07558;37.145511
2;7;20.877225;506.81776;42.995559
2;7.5;24.014549;582.92032;49.270524
2;8;27.37347;664.38699;55.969985
3;4;7.1410329;183.07737;19.396531
3;4.5;9.0716573;232.48992;24.499556
3;5;11.238275;287.93826;30.198271
3;5.5;13.637472;349.31708;36.488513
3;6;16.269448;416.63321;43.369282
3;6.5;19.133789;489.87879;50.838479
3;7;22.238077;569.25985;58.906373
3;7.5;25.569179;654.41452;67.553416
3;8;29.135826;745.58062;76.791571
4;4;7.5617448;202.73079;25.332133
4;4.5;9.604206;257.37934;32.032141
4;5;11.884012;318.35307;39.498147
4;5.5;14.414166;386.00106;47.756397
4;6;17.19369;460.29819;56.803415
4;6.5;20.216036;541.0623;66.625266
4;7;23.490347;628.5381;77.240554
4;7.5;27.008045;722.48895;88.631227
4;8;30.783164;823.30608;100.82364
